t,T,ferrite,pearlite,bainite,martensite,austenite,Hv
14200.0,723.294,1.0,0.0,0.0,0.0,0.0,145.97130075392
14250.0,722.8725,1.0,0.0,0.0,0.0,0.0,145.97130075392
14300.0,722.451,1.0,0.0,0.0,0.0,0.0,145.97130075392
14350.0,722.0295,1.0,0.0,0.0,0.0,0.0,145.97130075392
14400.0,721.608,1.0,0.0,0.0,0.0,0.0,145.97130075392
14450.0,721.1865,1.0,0.0,0.0,0.0,0.0,145.97130075392
14500.0,720.765,1.0,0.0,0.0,0.0,0.0,145.97130075392
14550.0,720.3435,1.0,0.0,0.0,0.0,0.0,145.97130075392
14600.0,719.922,1.0,0.0,0.0,0.0,0.0,145.97130075392
14650.0,719.5005,1.0,0.0,0.0,0.0,0.0,145.97130075392
14700.0,719.079,1.0,0.0,0.0,0.0,0.0,145.97130075392
14750.0,718.6575,1.0,0.0,0.0,0.0,0.0,145.97130075392
14800.0,718.236,1.0,0.0,0.0,0.0,0.0,145.97130075392
14850.0,717.8145,1.0,0.0,0.0,0.0,0.0,145.97130075392
14900.0,717.393,1.0,0.0,0.0,0.0,0.0,145.97130075392
14950.0,716.9715,1.0,0.0,0.0,0.0,0.0,145.97130075392
15000.0,716.55,1.0,0.0,0.0,0.0,0.0,145.97130075392
15050.0,716.1285,1.0,0.0,0.0,0.0,0.0,145.97130075392
15100.0,715.707,1.0,0.0,0.0,0.0,0.0,145.97130075392
15150.0,715.2855,1.0,0.0,0.0,0.0,0.0,145.97130075392
15200.0,714.864,1.0,0.0,0.0,0.0,0.0,145.97130075392
15250.0,714.4425,1.0,0.0,0.0,0.0,0.0,145.97130075392
15300.0,714.021,1.0,0.0,0.0,0.0,0.0,145.97130075392
15350.0,713.5995,1.0,0.0,0.0,0.0,0.0,145.97130075392
15400.0,713.178,1.0,0.0,0.0,0.0,0.0,145.97130075392
15450.0,712.7565,1.0,0.0,0.0,0.0,0.0,145.97130075392
15500.0,712.335,1.0,0.0,0.0,0.0,0.0,145.97130075392
